agent_id,episode_id,training_step,success,end_reason,agent_path_length,block_path_length,contact_latency,contact_steps,push_ratio,idle_ratio,action_switch_rate,oscillation_index,path_efficiency,push_efficiency,useful_block_displacement
Agent,1,150,1,goal,37.1511,17.3396,73,31,0.2067,0.0667,0.1200,0.0000,0.2861,0.1580,5.8701
Agent,2,274,1,goal,32.6222,12.9651,73,18,0.1452,0.0000,0.0968,0.0242,0.3469,0.2008,6.5493
Agent,3,459,1,goal,58.1683,17.5188,63,30,0.1622,0.0000,0.0811,0.0000,0.1377,0.1060,6.1677
Agent,4,525,1,goal,22.4254,12.8701,39,24,0.3636,0.0000,0.0606,0.0000,0.3137,0.3390,7.6027
Agent,5,594,1,goal,21.8514,11.0419,47,22,0.3188,0.0000,0.0580,0.0000,0.4384,0.3393,7.4150
Agent,1,147,1,goal,41.0529,17.5644,38,38,0.2585,0.0000,0.0952,0.0000,0.1758,0.1058,4.3418
Agent,2,246,1,goal,22.8081,7.3758,70,3,0.0303,0.0000,0.1212,0.0000,0.5019,0.0356,0.8112
Agent,3,322,1,goal,22.1667,10.0208,56,15,0.1974,0.0000,0.1053,0.0132,0.2590,0.2289,5.0729
Agent,4,447,1,goal,31.5805,19.7052,52,49,0.3920,0.0000,0.1040,0.0000,0.2208,0.1826,5.7678
Agent,5,548,1,goal,25.3742,12.2808,58,16,0.1584,0.0000,0.1386,0.0099,0.3224,0.0660,1.6745
Agent,6,610,1,goal,19.6402,11.1720,40,22,0.3548,0.0000,0.0645,0.0000,0.2357,0.4392,8.6254
Agent,1,45,1,goal,13.1379,11.1790,17,22,0.4889,0.0000,0.0889,0.0222,0.2554,0.7496,9.8476
Agent,2,91,1,goal,14.1029,10.9123,19,18,0.3913,0.0000,0.1087,0.0000,0.3204,0.6850,9.6602
Agent,3,226,1,goal,29.2055,10.4165,90,26,0.1926,0.0000,0.1407,0.0148,0.3958,0.1931,5.6393
Agent,4,286,1,goal,17.9127,7.2142,46,14,0.2333,0.0000,0.0833,0.0167,0.2818,0.3678,6.5889
Agent,5,469,1,goal,38.7458,7.0204,168,13,0.0710,0.0055,0.1148,0.0219,0.2422,0.1400,5.4239
Agent,6,598,1,goal,31.9152,5.7660,116,12,0.0930,0.0000,0.1163,0.0155,0.2023,0.0183,0.5851
Agent,7,628,1,goal,6.2081,3.0933,24,6,0.2000,0.0000,0.1000,0.0000,0.6234,0.4029,2.5010
Agent,1,44,1,goal,12.8541,4.0133,37,7,0.1591,0.0000,0.0455,0.0000,0.2675,0.2311,2.9705
Agent,2,163,1,goal,29.3508,9.6448,52,18,0.1513,0.0000,0.0924,0.0168,0.1845,0.0542,1.5914
Agent,3,406,1,goal,55.4012,29.3036,68,55,0.2263,0.0123,0.1235,0.0000,0.1970,0.1627,9.0137
Agent,4,876,1,goal,101.8293,5.0271,370,7,0.0149,0.0000,0.1234,0.0106,0.1160,0.0262,2.6635
Agent,5,944,1,goal,19.2425,8.4417,52,16,0.2353,0.0000,0.0882,0.0000,0.3518,0.1478,2.8442
Agent,6,1029,1,goal,30.3817,10.1521,62,17,0.2000,0.0000,0.0588,0.0000,0.2649,0.1599,4.8570
Agent,7,1151,1,goal,28.4750,14.6037,51,10,0.0820,0.0000,0.1148,0.0328,0.3140,0.1385,3.9443
Agent,8,1448,1,goal,56.8125,32.0334,27,58,0.1953,0.0606,0.1044,0.0168,0.1421,0.2374,13.4884
Agent,9,1512,1,goal,18.0290,8.8068,45,13,0.2031,0.0000,0.1250,0.0000,0.3321,0.2579,4.6498
Agent,10,1586,1,goal,22.5091,9.7975,40,12,0.1622,0.0000,0.0676,0.0000,0.5583,0.0090,0.2015
Agent,11,1645,1,goal,16.1249,8.7811,41,18,0.3051,0.0000,0.0847,0.0000,0.4655,0.5016,8.0876
Agent,12,1713,1,goal,18.4658,11.5683,19,21,0.3088,0.0000,0.0588,0.0147,0.1658,0.1491,2.7530
Agent,13,1822,1,goal,25.4144,16.3561,38,25,0.2294,0.0826,0.1009,0.0000,0.3402,0.0977,2.4822
Agent,14,1891,1,goal,19.6474,7.7160,49,11,0.1594,0.0000,0.1159,0.0000,0.3074,0.2026,3.9803
Agent,15,1965,1,goal,16.9945,6.3146,55,12,0.1622,0.1216,0.0811,0.0270,0.6776,0.1802,3.0631
Agent,16,2044,1,goal,22.1100,9.4108,24,18,0.2278,0.0000,0.0633,0.0127,0.2101,0.3107,6.8703
Agent,17,2137,1,goal,24.7425,12.4739,40,31,0.3333,0.0000,0.0860,0.0108,0.2316,0.4005,9.9085
Agent,18,2257,1,goal,32.5696,14.5175,50,31,0.2583,0.0000,0.1000,0.0083,0.1551,0.4099,13.3519
Agent,19,2322,1,goal,17.6105,8.3836,45,11,0.1692,0.0000,0.1077,0.0000,0.5134,0.2175,3.8308
Agent,20,2392,1,goal,22.3145,12.1626,44,26,0.3714,0.0000,0.0857,0.0143,0.3519,0.3372,7.5237
Agent,21,2461,1,goal,20.7629,15.1751,28,21,0.3043,0.0000,0.1014,0.0000,0.2769,0.3158,6.5562
Agent,22,2556,1,goal,22.1162,7.4201,79,12,0.1263,0.0000,0.1474,0.0211,0.3323,0.2982,6.5953
Agent,23,2642,1,goal,25.9711,15.8147,54,31,0.3605,0.0000,0.0814,0.0000,0.2188,0.3729,9.6849
Agent,24,2698,1,goal,11.6797,7.3951,25,7,0.1250,0.0000,0.1429,0.0000,0.3505,0.5569,6.5039
Agent,25,2760,1,goal,19.5571,14.3965,33,26,0.4194,0.0000,0.0806,0.0000,0.2007,0.6215,12.1553
Agent,26,2829,1,goal,21.3573,12.9816,38,18,0.2609,0.0000,0.0870,0.0000,0.2197,0.2241,4.7861
Agent,27,2937,1,goal,26.2826,6.7368,68,23,0.2130,0.0000,0.1111,0.0093,0.3244,0.2257,5.9313
Agent,28,3021,1,goal,30.9553,12.8431,60,24,0.2857,0.0000,0.0476,0.0000,0.3586,0.3073,9.5130
Agent,29,3338,1,goal,65.6987,25.9921,29,44,0.1388,0.0473,0.1136,0.0063,0.1321,0.1451,9.5336
Agent,30,3424,1,goal,18.8413,12.3420,56,30,0.3488,0.0930,0.0814,0.0000,0.2282,0.2228,4.1980
Agent,31,3547,1,goal,31.5918,4.1101,64,16,0.1301,0.0000,0.1220,0.0081,0.2223,0.1029,3.2517
Agent,32,3674,1,goal,31.7571,17.8508,89,37,0.2913,0.0079,0.0787,0.0079,0.2227,0.2617,8.3123
Agent,33,3746,1,goal,21.9236,4.0812,65,7,0.0972,0.0000,0.0833,0.0139,0.4238,0.1061,2.3253
Agent,34,3867,1,goal,32.7292,14.8664,79,22,0.1818,0.0000,0.1157,0.0000,0.2054,0.2719,8.8976
Agent,35,3952,1,goal,19.5975,6.5811,71,14,0.1647,0.0000,0.1059,0.0235,0.3533,0.3054,5.9849
Agent,36,4002,1,goal,14.0802,7.2449,37,13,0.2600,0.0000,0.0800,0.0000,0.4862,0.4012,5.6494
Agent,37,4093,1,goal,19.6301,8.5006,65,12,0.1319,0.0000,0.1319,0.0110,0.5022,0.1648,3.2347
Agent,38,4172,1,goal,18.9228,12.3607,38,33,0.4177,0.0000,0.0759,0.0000,0.2729,0.5253,9.9408
Agent,39,4403,1,goal,47.0192,15.9977,37,26,0.1126,0.0130,0.1169,0.0087,0.0964,0.1874,8.8136
Agent,40,4491,1,goal,21.0744,7.8044,51,19,0.2159,0.0000,0.1136,0.0114,0.4719,0.2179,4.5930
Agent,41,4614,1,goal,27.9941,15.3330,85,28,0.2276,0.0000,0.0894,0.0000,0.2636,0.5080,14.2208
Agent,42,4705,1,goal,26.2878,11.0944,50,18,0.1978,0.0000,0.0879,0.0000,0.1865,0.3591,9.4401
Agent,43,4983,1,goal,36.8690,12.1846,84,50,0.1799,0.1403,0.1367,0.0180,0.3023,0.0242,0.8927
Agent,44,5025,1,goal,11.2289,6.1218,29,13,0.3095,0.0000,0.0714,0.0000,0.2869,0.3045,3.4187
Agent,45,5135,1,goal,30.7649,17.6438,71,26,0.2364,0.0000,0.1000,0.0091,0.3584,0.2516,7.7410
Agent,46,5281,1,goal,27.5949,22.7451,26,46,0.3151,0.0685,0.1301,0.0137,0.1588,0.1949,5.3774
Agent,47,5356,1,goal,18.6995,8.1180,55,6,0.0800,0.0000,0.1067,0.0267,0.4186,0.2931,5.4817
Agent,48,5438,1,goal,24.6445,10.7647,60,16,0.1951,0.0000,0.0976,0.0244,0.3186,0.3836,9.4537
