agent_id,episode_id,training_step,success,end_reason,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,progress_rate,final_goal_error
Agent,1,147,1,goal,15.1923,12.2620,0.1929,0.0013,12.2620
Agent,2,246,1,goal,8.7538,8.5536,0.0229,0.0002,8.5536
Agent,3,322,1,goal,11.4402,6.4215,0.4387,0.0058,6.4215
Agent,4,447,1,goal,16.7375,12.3925,0.2596,0.0021,12.3925
Agent,5,548,1,goal,12.7551,11.2929,0.1146,0.0011,11.2929
Agent,6,610,1,goal,12.6791,4.1007,0.6766,0.0109,4.1007
Agent,1,45,1,goal,13.1044,3.3916,0.7412,0.0165,3.3916
Agent,2,91,1,goal,12.6660,3.1537,0.7510,0.0163,3.1537
Agent,3,226,1,goal,7.7835,2.8710,0.6311,0.0047,2.8710
Agent,4,286,1,goal,9.1672,2.5651,0.7202,0.0120,2.5651
Agent,5,469,1,goal,10.5613,5.1924,0.5084,0.0028,5.1924
Agent,6,598,1,goal,8.9456,8.4786,0.0522,0.0004,8.4786
Agent,7,628,1,goal,5.0548,2.6390,0.4779,0.0159,2.6390
Agent,1,44,1,goal,6.4073,3.5322,0.4487,0.0102,3.5322
Agent,2,163,1,goal,11.1491,9.9797,0.1049,0.0009,9.9797
Agent,3,406,1,goal,16.9789,11.1834,0.3413,0.0014,11.1834
Agent,4,876,1,goal,9.2091,6.6082,0.2824,0.0006,6.6082
Agent,5,944,1,goal,10.3327,7.5152,0.2727,0.0040,7.5152
Agent,6,1029,1,goal,11.9343,7.0937,0.4056,0.0048,7.0937
Agent,7,1151,1,goal,13.7100,9.8240,0.2834,0.0023,9.8240
Agent,8,1448,1,goal,16.2700,8.5956,0.4717,0.0016,8.5956
Agent,9,1512,1,goal,11.6296,7.0311,0.3954,0.0062,7.0311
Agent,10,1586,1,goal,7.5750,11.0408,-0.4575,-0.0062,11.0408
Agent,11,1645,1,goal,10.3274,2.4310,0.7646,0.0130,2.4310
Agent,12,1713,1,goal,11.0116,9.0177,0.1811,0.0027,9.0177
Agent,13,1822,1,goal,12.7942,12.0779,0.0560,0.0005,12.0779
Agent,14,1891,1,goal,10.3987,6.4629,0.3785,0.0055,6.4629
Agent,15,1965,1,goal,7.9827,4.9442,0.3806,0.0051,4.9442
Agent,16,2044,1,goal,11.8538,5.0586,0.5732,0.0073,5.0586
Agent,17,2137,1,goal,14.5339,4.6401,0.6807,0.0073,4.6401
Agent,18,2257,1,goal,15.8943,2.6275,0.8347,0.0070,2.6275
Agent,19,2322,1,goal,10.4135,6.6116,0.3651,0.0056,6.6116
Agent,20,2392,1,goal,13.1329,5.6786,0.5676,0.0081,5.6786
Agent,21,2461,1,goal,16.5261,10.0158,0.3939,0.0057,10.0158
Agent,22,2556,1,goal,9.7097,3.2465,0.6656,0.0070,3.2465
Agent,23,2642,1,goal,16.3133,6.6995,0.5893,0.0069,6.6995
Agent,24,2698,1,goal,9.3262,2.8473,0.6947,0.0124,2.8473
Agent,25,2760,1,goal,15.9757,3.8703,0.7577,0.0122,3.8703
Agent,26,2829,1,goal,13.6717,8.9354,0.3464,0.0050,8.9354
Agent,27,2937,1,goal,8.6272,2.8574,0.6688,0.0062,2.8574
Agent,28,3021,1,goal,14.2406,4.8181,0.6617,0.0079,4.8181
Agent,29,3338,1,goal,16.4221,11.3848,0.3067,0.0010,11.3848
Agent,30,3424,1,goal,14.4968,10.3149,0.2885,0.0034,10.3149
Agent,31,3547,1,goal,5.8382,2.6449,0.5470,0.0044,2.6449
Agent,32,3674,1,goal,16.1408,8.3994,0.4796,0.0038,8.3994
Agent,33,3746,1,goal,6.6481,4.4237,0.3346,0.0046,4.4237
Agent,34,3867,1,goal,16.8025,7.9312,0.5280,0.0044,7.9312
Agent,35,3952,1,goal,8.5274,2.6494,0.6893,0.0081,2.6494
Agent,36,4002,1,goal,10.0811,4.4703,0.5566,0.0111,4.4703
Agent,37,4093,1,goal,11.1095,7.8962,0.2892,0.0032,7.8962
Agent,38,4172,1,goal,14.4416,4.5990,0.6815,0.0086,4.5990
Agent,39,4403,1,goal,15.3554,6.5925,0.5707,0.0025,6.5925
Agent,40,4491,1,goal,7.8753,3.4195,0.5658,0.0064,3.4195
Agent,41,4614,1,goal,16.6713,2.5368,0.8478,0.0069,2.5368
Agent,42,4705,1,goal,12.0099,2.7224,0.7733,0.0085,2.7224
Agent,43,4983,1,goal,11.3217,12.1495,-0.0731,-0.0003,12.1495
Agent,44,5025,1,goal,7.4647,4.1463,0.4445,0.0106,4.1463
Agent,45,5135,1,goal,15.9881,9.0903,0.4314,0.0039,9.0903
Agent,46,5281,1,goal,16.0642,12.3924,0.2286,0.0016,12.3924
Agent,47,5356,1,goal,10.8210,5.4004,0.5009,0.0067,5.4004
Agent,48,5438,1,goal,12.6215,3.3116,0.7376,0.0090,3.3116
Agent,49,5534,1,goal,10.8076,6.2381,0.4228,0.0044,6.2381
Agent,50,5615,1,goal,11.8304,2.9887,0.7474,0.0092,2.9887
Agent,51,5685,1,goal,15.1045,6.0642,0.5985,0.0086,6.0642
Agent,52,5816,1,goal,13.3242,3.1133,0.7663,0.0058,3.1133
Agent,53,5931,1,goal,16.7250,2.5277,0.8489,0.0074,2.5277
Agent,54,6015,1,goal,9.6366,5.2257,0.4577,0.0054,5.2257
Agent,1,74,1,goal,14.6483,2.9932,0.7957,0.0108,2.9932
Agent,2,124,1,goal,6.5760,4.1579,0.3677,0.0074,4.1579
Agent,3,217,1,goal,7.8605,7.0725,0.1003,0.0011,7.0725
Agent,4,294,1,goal,14.7194,6.8134,0.5371,0.0070,6.8134
Agent,5,357,1,goal,7.5665,3.7517,0.5042,0.0080,3.7517
Agent,6,533,1,goal,6.3394,8.1480,-0.2853,-0.0016,8.1480
Agent,7,622,1,goal,14.5026,2.5566,0.8237,0.0093,2.5566
Agent,8,711,1,goal,13.8742,7.5022,0.4593,0.0052,7.5022
Agent,9,750,1,goal,7.1812,6.2588,0.1284,0.0033,6.2588
Agent,10,824,1,goal,5.0885,2.8379,0.4423,0.0060,2.8379
Agent,11,884,1,goal,10.3390,4.2764,0.5864,0.0098,4.2764
Agent,12,987,1,goal,15.0018,7.7141,0.4858,0.0047,7.7141
Agent,13,1031,1,goal,13.8534,8.6097,0.3785,0.0086,8.6097
Agent,14,1176,1,goal,15.0112,8.3168,0.4460,0.0031,8.3168
Agent,15,1313,1,goal,15.4217,6.1945,0.5983,0.0044,6.1945
Agent,16,1546,1,goal,15.1546,11.8513,0.2180,0.0009,11.8513
Agent,17,1611,1,goal,7.6083,3.7661,0.5050,0.0078,3.7661
Agent,18,1687,1,goal,12.5087,6.2404,0.5011,0.0066,6.2404
Agent,19,1795,1,goal,16.0329,3.3971,0.7881,0.0073,3.3971
Agent,20,1860,1,goal,7.8404,4.5435,0.4205,0.0065,4.5435
Agent,21,1956,1,goal,16.6496,9.7521,0.4143,0.0043,9.7521
Agent,22,2058,1,goal,16.7349,4.6115,0.7244,0.0071,4.6115
