agent_id,episode_id,training_step,success,end_reason,mean_goal_velocity,goal_velocity_variance,goal_velocity_acceleration_variance,goal_velocity_jerk,rotation_variance,action_entropy,repeated_action_ratio,policy_smoothness,control_samples,mean_angular_speed
Agent,1,74,1,goal,7.8583,78.4279,4.3716,0.7161,0.0000,1.1437,0.9054,2.5000,74.0000,0.0000
Agent,2,124,1,goal,2.2465,26.4730,6.4086,0.7633,0.0000,1.0313,0.8800,3.0000,50.0000,0.0000
Agent,3,217,1,goal,0.3943,1.6818,0.4008,0.1390,0.0000,1.4598,0.8817,2.9000,93.0000,0.0000
Agent,4,294,1,goal,4.8686,57.9580,4.4041,0.4911,0.0000,1.2355,0.9351,2.2500,77.0000,0.0000
Agent,5,357,1,goal,2.9175,35.1931,3.3098,0.4896,0.0000,1.3549,0.9048,3.8000,63.0000,0.0000
Agent,6,533,1,goal,-0.6049,57.9782,2.0026,0.3314,0.0000,1.6825,0.9091,2.6000,176.0000,0.0000
Agent,7,622,1,goal,6.6570,104.8987,2.2045,0.3257,0.0000,1.3447,0.8989,2.5000,89.0000,0.0000
Agent,8,711,1,goal,3.5202,44.8834,1.6705,0.3673,0.0000,1.3427,0.8764,2.8000,89.0000,0.0000
Agent,9,750,1,goal,0.9883,3.7827,0.8365,0.3260,0.0000,0.6987,0.8974,3.0000,39.0000,0.0000
Agent,10,824,1,goal,1.5232,28.9115,2.0944,0.4525,0.0000,1.0568,0.8649,4.2222,74.0000,0.0000
Agent,11,884,1,goal,4.9267,48.7825,3.8999,0.5183,0.0000,1.4854,0.8667,3.1429,60.0000,0.0000
Agent,12,987,1,goal,3.4394,28.2608,1.1280,0.2947,0.0000,1.7074,0.8835,3.0000,103.0000,0.0000
Agent,13,1031,1,goal,5.5676,41.8627,5.3933,0.7189,0.0000,0.6983,0.9091,4.0000,44.0000,0.0000
Agent,14,1176,1,goal,2.2405,22.0809,0.3533,0.0833,0.0000,1.4807,0.9034,3.4615,145.0000,0.0000
Agent,15,1313,1,goal,3.2225,30.2457,2.0172,0.3809,0.0000,1.6434,0.8759,2.6875,137.0000,0.0000
Agent,16,1546,1,goal,0.6140,10.4391,0.5825,0.1920,0.0000,1.6977,0.8884,3.1600,233.0000,0.0000
Agent,17,1611,1,goal,2.8826,39.4943,3.8847,0.5162,0.0000,1.5591,0.8769,3.0000,65.0000,0.0000
Agent,18,1687,1,goal,4.0367,29.1675,1.4059,0.3858,0.0000,1.6778,0.8816,3.1250,76.0000,0.0000
Agent,19,1795,1,goal,5.8514,84.5956,0.6967,0.1490,0.0000,1.7503,0.8796,2.5833,108.0000,0.0000
Agent,20,1860,1,goal,2.4211,22.8355,4.2778,0.5286,0.0000,1.1190,0.8923,3.3333,65.0000,0.0000
Agent,21,1956,1,goal,3.4654,22.5863,1.1680,0.3093,0.0000,1.5958,0.8958,1.8889,96.0000,0.0000
Agent,22,2058,1,goal,5.8661,93.2345,4.2289,0.4258,0.0000,1.4295,0.9314,2.8333,102.0000,0.0000
Agent,23,2151,1,goal,3.0203,25.8203,1.2448,0.3087,0.0000,1.6348,0.8710,3.0000,93.0000,0.0000
Agent,24,2266,1,goal,0.8495,16.3255,2.5453,0.5934,0.0000,1.3008,0.9043,2.9000,115.0000,0.0000
Agent,25,2401,1,goal,0.8889,11.9936,1.1380,0.1869,0.0000,1.6722,0.8741,2.3750,135.0000,0.0000
Agent,26,2630,1,goal,0.8216,8.0802,0.9261,0.2525,0.0000,1.7320,0.8646,2.4333,229.0000,0.0000
Agent,27,2681,1,goal,5.0118,21.6165,4.3314,0.8461,0.0000,0.7930,0.8824,4.2000,51.0000,0.0000
Agent,28,2826,1,goal,1.0244,19.6815,2.6067,0.2743,0.0000,1.3257,0.9310,3.0000,145.0000,0.0000
Agent,29,3015,1,goal,0.1537,48.9400,1.5304,0.3406,0.0000,1.6790,0.8730,2.1739,189.0000,0.0000
Agent,30,3120,1,goal,0.7693,11.0878,3.4436,0.3817,0.0000,1.4058,0.8952,2.8000,105.0000,0.0000
Agent,1,141,1,goal,1.0576,14.4794,2.0281,0.2526,0.0000,1.1184,0.9362,3.3750,141.0000,0.0000
Agent,2,252,1,goal,2.4164,37.3060,1.5045,0.2403,0.0000,1.3629,0.9009,3.5000,111.0000,0.0000
Agent,3,339,1,goal,0.5401,14.4845,1.0303,0.2558,0.0000,1.4443,0.9080,3.2857,87.0000,0.0000
Agent,4,442,1,goal,1.0449,7.4370,1.4061,0.4177,0.0000,1.4445,0.8738,3.4167,103.0000,0.0000
Agent,5,535,1,goal,4.8743,48.8945,1.6159,0.3576,0.0000,1.7039,0.8602,2.5833,93.0000,0.0000
Agent,6,663,1,goal,2.6508,24.9271,1.9687,0.3579,0.0000,1.5841,0.8828,3.4286,128.0000,0.0000
Agent,7,702,1,goal,10.6181,108.6111,5.8014,0.8141,0.0000,0.7698,0.8718,3.0000,39.0000,0.0000
Agent,8,822,1,goal,2.0243,23.7469,1.1996,0.2970,0.0000,1.4250,0.8833,3.7692,120.0000,0.0000
Agent,9,941,1,goal,2.6013,29.5763,1.8993,0.2546,0.0000,1.5608,0.8908,3.0833,119.0000,0.0000
Agent,10,1098,1,goal,3.2805,45.0828,1.4433,0.2966,0.0000,1.3592,0.8981,3.3333,157.0000,0.0000
Agent,11,1313,1,goal,0.7814,15.7171,1.6080,0.2996,0.0000,1.7087,0.8791,2.4400,215.0000,0.0000
Agent,12,1361,1,goal,3.7044,39.8342,6.2075,0.7599,0.0000,1.0692,0.8958,3.5000,48.0000,0.0000
Agent,13,1466,1,goal,1.8231,13.4591,0.9139,0.1957,0.0000,1.3199,0.9048,3.1111,105.0000,0.0000
Agent,14,1519,1,goal,7.6042,96.2607,4.0582,0.5724,0.0000,0.8927,0.9434,5.5000,53.0000,0.0000
Agent,15,1563,1,goal,9.5828,112.9139,4.8506,0.6783,0.0000,0.9572,0.9091,4.0000,44.0000,0.0000
Agent,16,1661,1,goal,4.2507,36.7676,0.9557,0.2655,0.0000,1.6939,0.8776,2.6364,98.0000,0.0000
Agent,17,1722,1,goal,3.5141,32.0825,1.9648,0.3813,0.0000,1.2023,0.8852,3.1667,61.0000,0.0000
Agent,18,1878,1,goal,2.0306,28.7795,1.5419,0.3695,0.0000,1.6441,0.8397,3.3750,156.0000,0.0000
Agent,19,1923,1,goal,3.9650,60.4055,6.6172,0.7828,0.0000,1.1499,0.9111,3.6667,45.0000,0.0000
Agent,20,2018,1,goal,2.9986,22.9507,1.7477,0.5462,0.0000,1.5137,0.8632,3.5833,95.0000,0.0000
Agent,21,2101,1,goal,2.2550,31.9413,2.9286,0.4553,0.0000,1.5292,0.8675,3.8000,83.0000,0.0000
Agent,22,2243,1,goal,3.7465,39.5486,1.7101,0.3148,0.0000,1.5811,0.8732,3.2353,142.0000,0.0000
Agent,23,2346,1,goal,3.9724,25.2757,2.2198,0.5261,0.0000,1.6417,0.8641,2.5385,103.0000,0.0000
Agent,24,2395,1,goal,9.1429,88.2532,8.9226,1.1181,0.0000,1.2036,0.8776,3.8000,49.0000,0.0000
Agent,25,2442,1,goal,6.0898,86.4449,8.4517,0.8804,0.0000,0.9770,0.8723,3.0000,47.0000,0.0000
Agent,26,2482,1,goal,7.5877,58.4241,6.9055,1.1091,0.0000,0.9794,0.8500,2.6000,40.0000,0.0000
Agent,27,2628,1,goal,1.2815,9.2303,1.2523,0.2748,0.0000,1.5448,0.8973,3.0000,146.0000,0.0000
Agent,28,2760,1,goal,2.0825,23.3475,0.6821,0.1838,0.0000,1.7377,0.8712,2.9375,132.0000,0.0000
Agent,29,2819,1,goal,3.5835,24.9932,0.7505,0.3023,0.0000,0.9221,0.8983,4.2000,59.0000,0.0000
Agent,30,2939,1,goal,3.9511,53.1440,1.6989,0.2401,0.0000,1.6592,0.9167,3.0000,120.0000,0.0000
Agent,31,3166,1,goal,0.1910,38.3366,1.6133,0.3183,0.0000,1.8069,0.8767,2.7778,227.0000,0.0000
Agent,32,3258,1,goal,3.3636,41.4564,1.4194,0.3326,0.0000,1.4635,0.8804,3.9000,92.0000,0.0000
Agent,33,3346,1,goal,1.4333,29.4473,2.0841,0.4692,0.0000,1.1637,0.8750,3.3000,88.0000,0.0000
Agent,34,3458,1,goal,4.7926,71.6098,2.6273,0.3198,0.0000,1.4587,0.9018,3.1000,112.0000,0.0000
Agent,35,3555,1,goal,4.0827,43.1967,0.9390,0.1778,0.0000,1.4975,0.9175,3.0000,97.0000,0.0000
Agent,36,3634,1,goal,4.3982,51.2341,2.4611,0.5367,0.0000,1.3950,0.8734,3.1111,79.0000,0.0000
Agent,37,3719,1,goal,2.8145,23.5383,1.0640,0.2257,0.0000,1.4131,0.8824,2.6667,85.0000,0.0000
Agent,38,3795,1,goal,1.5349,25.7040,4.0443,0.4692,0.0000,1.3623,0.9211,3.8000,76.0000,0.0000
Agent,39,3888,1,goal,5.8269,96.0332,2.2681,0.3306,0.0000,1.1033,0.9140,3.5714,93.0000,0.0000
Agent,40,4044,1,goal,0.6337,2.8259,0.6552,0.2944,0.0000,1.5095,0.8654,3.0500,156.0000,0.0000
Agent,41,4120,1,goal,1.2051,10.1821,1.9236,0.3244,0.0000,1.0274,0.9211,4.2000,76.0000,0.0000
Agent,42,4237,1,goal,1.2626,13.3615,1.2888,0.3344,0.0000,1.3902,0.8974,2.4545,117.0000,0.0000
Agent,43,4406,1,goal,2.0653,42.9933,1.8589,0.2892,0.0000,1.5292,0.8817,2.7895,169.0000,0.0000
Agent,44,4616,1,goal,2.2317,68.0966,0.6943,0.1416,0.0000,1.7159,0.8810,3.0417,210.0000,0.0000
Agent,45,4665,1,goal,7.7072,79.2731,1.4547,0.3283,0.0000,0.8673,0.8980,5.2500,49.0000,0.0000
Agent,46,4737,1,goal,1.2101,14.9256,2.4442,0.3807,0.0000,1.1920,0.8750,3.2500,72.0000,0.0000
Agent,47,4845,1,goal,5.2742,55.2881,3.5801,0.6082,0.0000,1.4263,0.8981,3.9000,108.0000,0.0000
Agent,48,4939,1,goal,2.2540,26.2792,3.1413,0.3751,0.0000,1.4639,0.8617,2.5000,94.0000,0.0000
Agent,49,5033,1,goal,5.0750,57.3376,2.1360,0.4393,0.0000,1.4843,0.9043,3.2500,94.0000,0.0000
Agent,50,5147,1,goal,0.6568,6.1672,1.2146,0.2237,0.0000,1.3977,0.9123,3.3333,114.0000,0.0000
Agent,1,178,1,goal,0.5071,14.5099,1.5242,0.3795,0.0000,1.6604,0.8933,3.5000,178.0000,0.0000
Agent,2,274,1,goal,-0.0795,0.2393,0.0211,0.0240,0.0000,1.6768,0.8750,3.2727,96.0000,0.0000
Agent,3,319,1,goal,4.5095,54.1799,5.2249,0.7227,0.0000,1.0302,0.9111,3.6667,45.0000,0.0000
Agent,4,406,1,goal,5.3971,63.2582,2.4410,0.3371,0.0000,1.1391,0.9080,2.5714,87.0000,0.0000
Agent,5,482,1,goal,2.0498,23.0263,3.2239,0.4277,0.0000,1.6778,0.8421,2.4545,76.0000,0.0000
Agent,6,624,1,goal,1.5193,39.0649,1.3232,0.2667,0.0000,1.7017,0.9155,3.1818,142.0000,0.0000
Agent,7,716,1,goal,6.3091,86.3345,2.4962,0.4470,0.0000,1.4111,0.8696,3.8182,92.0000,0.0000
Agent,8,904,1,goal,1.4350,91.4237,0.8906,0.2283,0.0000,1.5672,0.8883,3.4000,188.0000,0.0000
Agent,9,1014,1,goal,1.9204,30.7168,1.8015,0.3652,0.0000,1.3483,0.8909,3.7273,110.0000,0.0000
Agent,10,1116,1,goal,4.6810,50.4741,0.9251,0.2416,0.0000,1.5872,0.8922,3.1000,102.0000,0.0000
Agent,11,1201,1,goal,5.0146,41.2104,1.2627,0.3468,0.0000,1.5647,0.8706,3.4000,85.0000,0.0000
Agent,12,1340,1,goal,2.8282,22.4271,0.9344,0.2427,0.0000,1.7090,0.8705,3.0000,139.0000,0.0000
Agent,13,1400,1,goal,5.7369,57.6583,3.6748,0.5854,0.0000,0.9596,0.9167,3.5000,60.0000,0.0000
Agent,14,1514,1,goal,5.6889,92.2659,0.5024,0.1095,0.0000,1.5956,0.9035,2.9000,114.0000,0.0000
Agent,15,1618,1,goal,1.9397,13.9744,0.4561,0.1211,0.0000,1.5739,0.8654,2.8462,104.0000,0.0000
Agent,16,1752,1,goal,1.3006,20.9994,3.1058,0.3248,0.0000,1.6818,0.8433,2.7500,134.0000,0.0000
Agent,17,1821,1,goal,2.2961,28.1037,4.3683,0.5293,0.0000,1.4160,0.8696,3.1250,69.0000,0.0000
Agent,18,2094,1,goal,0.5534,10.1401,0.7306,0.1182,0.0000,1.7115,0.8571,3.0263,273.0000,0.0000
Agent,19,2127,1,goal,4.5057,71.2448,16.3847,1.4634,0.0000,0.5561,0.8788,1.0000,33.0000,0.0000
Agent,20,2476,1,goal,0.2372,12.4972,0.8013,0.2286,0.0000,1.3705,0.8911,3.5135,349.0000,0.0000
Agent,21,2531,1,goal,4.3265,40.1777,3.5897,0.5347,0.0000,1.0791,0.8727,4.0000,55.0000,0.0000
Agent,22,2666,1,goal,3.8742,32.9532,2.7706,0.4513,0.0000,1.5527,0.8889,2.9286,135.0000,0.0000
Agent,23,2742,1,goal,2.4119,16.0897,2.3841,0.5142,0.0000,1.4506,0.8816,2.8750,76.0000,0.0000
Agent,24,2879,1,goal,2.0292,26.6464,1.5232,0.3033,0.0000,1.6255,0.8686,3.1176,137.0000,0.0000
Agent,25,3000,1,goal,3.2407,35.7261,1.0496,0.3330,0.0000,1.5719,0.8760,3.6429,121.0000,0.0000
