agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,final_goal_error,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,1,58,1,goal,4.9884,58,58,12.5093,4.9961,0.6006,4.9961,-6.2319,1.0000,0.2974,-4.3699,0.3750,-8.1123,0.0000,-0.0300,-10.5000
Agent,2,120,1,goal,4.9876,62,62,13.5093,3.5055,0.7405,3.5055,2.2072,1.0000,-4.4683,-7.9818,0.3750,-2.4048,-10.5000,-0.0300,0.0000
Agent,3,219,1,goal,4.9802,99,99,14.3010,3.0184,0.7889,3.0184,-3.1238,1.0000,-4.2249,8.0243,0.3750,-1.6787,10.5000,-0.0300,0.0000
Agent,1,5000,0,timeout,-0.9999,5000,-1,17.1347,7.0925,0.5861,7.0925,-5.7254,1.0000,-5.4106,3.4214,0.3750,-0.1799,10.5000,-0.0300,0.0000
Agent,2,8322,1,goal,4.3356,3322,3322,8.9248,6.1573,0.3101,6.1573,3.9569,1.0000,-5.9816,7.9815,0.3750,-5.6041,10.5000,-0.0300,0.0000
Agent,3,13322,0,timeout,-0.9999,5000,-1,12.7425,22.8173,-0.7906,22.8173,-1.1595,1.0000,-5.0365,-12.0799,0.3750,-3.2577,10.5000,-0.0300,0.0000
Agent,4,18322,0,timeout,-0.9999,5000,-1,9.1632,12.5560,-0.3703,12.5560,-2.0974,1.0000,-3.5071,-0.5348,0.3750,-7.6278,-10.5000,-0.0300,0.0000
Agent,5,23322,0,timeout,-0.9999,5000,-1,13.7457,12.4375,0.0952,12.4375,-2.5233,1.0000,2.9728,-3.3925,0.3750,1.4590,0.0000,-0.0300,-10.5000
Agent,6,28322,0,timeout,-0.9999,5000,-1,8.5551,7.6346,0.1076,7.6346,0.8484,1.0000,-2.0496,-1.5084,0.3750,-3.0269,0.0000,-0.0300,-10.5000
Agent,7,33322,0,timeout,-0.9999,5000,-1,7.7462,14.1677,-0.8290,14.1677,2.8206,1.0000,-3.3595,12.1239,0.3750,-3.1808,0.0000,-0.0300,-10.5000
Agent,8,38322,0,timeout,-0.9999,5000,-1,6.7305,6.6636,0.0099,6.6636,-5.3119,1.0000,-4.1621,-5.3119,0.3750,-4.1621,-10.5000,-0.0300,0.0000
Agent,9,43322,0,timeout,-0.9999,5000,-1,12.7094,12.6740,0.0028,12.6740,-1.2897,1.0000,4.6336,-1.2897,0.3750,4.6336,10.5000,-0.0300,0.0000
Agent,10,48322,0,timeout,-0.9999,5000,-1,8.5709,10.9891,-0.2821,10.9891,2.5167,1.0000,2.9440,2.4147,0.3750,7.4314,10.5000,-0.0300,0.0000
Agent,11,53322,0,timeout,-0.9999,5000,-1,12.2954,10.7682,0.1242,10.7682,0.5148,1.0000,-5.3656,-2.1810,0.3750,-6.8252,-10.5000,-0.0300,0.0000
