agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_goal_zone_error_xz,final_goal_zone_error_xz,normalized_task_progress,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,success_goal_consistency,final_goal_error,final_center_distance_xz,final_center_distance_xyz,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,1,5000,0,timeout,-0.9999,5000,-1,3.7447,3.7447,0.0000,6.4908,6.4213,0.0107,1.0000,6.421336,6.4086,6.4213,4.2306,1.0000,-1.3281,4.2306,0.3750,-1.3281,10.5000,-0.0300,0.0000
Agent,2,10000,0,timeout,-0.9999,5000,-1,10.2897,8.4225,0.1815,14.1470,16.3408,-0.1551,1.0000,16.34079,16.3358,16.3408,5.9046,1.0000,2.3145,12.1250,0.3750,0.4472,0.0000,-0.0300,-10.5000
Agent,3,15000,0,timeout,-0.9999,5000,-1,12.1396,12.3116,-0.0142,14.7562,15.0860,-0.0224,1.0000,15.086,15.0806,15.0860,-4.1643,1.0000,1.2814,-4.3363,0.3750,2.7031,10.5000,-0.0300,0.0000
Agent,4,20000,0,timeout,-0.9999,5000,-1,4.7835,4.7835,0.0000,7.3898,7.3289,0.0082,1.0000,7.328907,7.3177,7.3289,-0.3719,1.0000,-3.1917,-0.3719,0.3750,-3.1917,0.0000,-0.0300,-10.5000
Agent,5,25000,0,timeout,-0.9999,5000,-1,10.7698,1.5920,0.8522,14.6506,12.0847,0.1751,1.0000,12.08472,12.0779,12.0847,-2.7945,1.0000,-6.0692,6.3833,0.3750,-11.3547,10.5000,-0.0300,0.0000
Agent,6,30000,0,timeout,-0.9999,5000,-1,6.5086,6.1063,0.0618,9.1433,8.6547,0.0534,1.0000,8.654677,8.6452,8.6547,-0.9682,1.0000,1.4666,-0.4949,0.3750,1.8690,0.0000,-0.0300,10.5000
Agent,7,35000,0,timeout,-0.9999,5000,-1,13.2305,10.2900,0.2223,16.7980,17.6465,-0.0505,1.0000,17.64645,17.6418,17.6465,-5.7345,1.0000,5.2552,-12.1250,0.3750,2.3147,0.0000,-0.0300,-10.5000
Agent,8,40000,0,timeout,-0.9999,5000,-1,12.3345,9.0381,0.2672,15.1603,11.9472,0.2119,1.0000,11.94723,11.9404,11.9472,4.3592,1.0000,2.8246,1.0628,0.3750,-2.9787,-10.5000,-0.0300,0.0000
Agent,9,45000,0,timeout,-0.9999,5000,-1,4.6952,4.6952,0.0000,7.7497,7.6916,0.0075,1.0000,7.691643,7.6810,7.6916,2.6211,1.0000,-3.2801,2.6211,0.3750,-3.2801,0.0000,-0.0300,-10.5000
Agent,10,50000,0,timeout,-0.9999,5000,-1,5.2819,5.0698,0.0402,9.4169,9.0468,0.0393,1.0000,9.046839,9.0378,9.0468,5.1645,1.0000,-2.6933,4.8993,0.3750,-2.9054,0.0000,-0.0300,-10.5000
Agent,11,55000,0,timeout,-0.9999,5000,-1,7.4923,7.4923,0.0000,10.5953,10.5529,0.0040,1.0000,10.55289,10.5451,10.5529,-3.2953,1.0000,-0.4830,-3.2953,0.3750,-0.4830,0.0000,-0.0300,-10.5000
Agent,12,60000,0,timeout,-0.9999,5000,-1,2.2969,4.3743,-0.9044,5.3663,10.8444,-1.0208,1.0000,10.84443,10.8369,10.8444,-5.6783,1.0000,-2.1185,-3.6010,0.3750,-8.3571,-10.5000,-0.0300,0.0000
Agent,13,65000,0,timeout,-0.9999,5000,-1,8.7103,10.6381,-0.2213,12.5191,14.6950,-0.1738,1.0000,14.69501,14.6894,14.6950,0.7351,1.0000,-5.4260,2.6628,0.3750,-6.5207,-10.5000,-0.0300,0.0000
Agent,14,70000,0,timeout,-0.9999,5000,-1,10.6896,7.3309,0.3142,13.3046,11.6660,0.1232,1.0000,11.66603,11.6590,11.6660,2.7144,1.0000,-1.1537,-0.6444,0.3750,6.2288,-10.5000,-0.0300,0.0000
Agent,15,75000,0,timeout,-0.9999,5000,-1,9.5255,8.2944,0.1292,12.8674,10.8468,0.1570,1.0000,10.84678,10.8392,10.8468,-4.3932,1.0000,-1.5503,-0.6592,0.3750,-0.3191,0.0000,-0.0300,10.5000
Agent,16,80000,0,timeout,-0.9999,5000,-1,7.8161,7.8161,0.0000,10.3961,10.3529,0.0042,1.0000,10.35287,10.3450,10.3529,-0.1592,1.0000,-0.2928,-0.1592,0.3750,-0.2928,-10.5000,-0.0300,0.0000
Agent,17,85000,0,timeout,-0.9999,5000,-1,9.7969,8.0024,0.1832,13.6240,10.5373,0.2266,1.0000,10.53727,10.5295,10.5373,-5.7210,1.0000,-1.8216,-0.2229,0.3750,-0.0271,0.0000,-0.0300,10.5000
Agent,18,90000,0,timeout,-0.9999,5000,-1,8.1104,7.3487,0.0939,11.3632,10.0573,0.1149,1.0000,10.05732,10.0492,10.0573,-3.8670,1.0000,0.1352,-1.8709,0.3750,-0.6265,0.0000,-0.0300,-10.5000
Agent,19,95000,0,timeout,-0.9999,5000,-1,5.9257,5.3704,0.0937,9.4820,8.3747,0.1168,1.0000,8.374674,8.3649,8.3747,-2.0496,1.0000,4.1758,-2.6049,0.3750,2.7637,-10.5000,-0.0300,0.0000
Agent,20,100000,0,timeout,-0.9999,5000,-1,5.6100,3.5272,0.3713,10.0619,7.6082,0.2439,1.0000,7.608226,7.5974,7.6082,5.8316,1.0000,-2.3652,4.5929,0.3750,-4.4480,0.0000,-0.0300,-10.5000
Agent,21,105000,0,timeout,-0.9999,5000,-1,5.3029,5.3029,0.0000,9.8436,9.7979,0.0046,1.0000,9.797908,9.7895,9.7979,-5.8790,1.0000,2.6723,-5.8790,0.3750,2.6723,0.0000,-0.0300,10.5000
Agent,22,110000,0,timeout,-0.9999,5000,-1,11.0081,10.9494,0.0053,14.2551,13.5959,0.0462,1.0000,13.59585,13.5898,13.5959,4.3599,1.0000,-3.0329,1.7696,0.3750,-2.9741,0.0000,-0.0300,10.5000
Agent,23,115000,0,timeout,-0.9999,5000,-1,10.4978,10.4978,0.0000,13.2781,13.2443,0.0025,1.0000,13.24429,13.2381,13.2443,-2.5225,1.0000,-2.3792,-2.5225,0.3750,-2.3792,10.5000,-0.0300,0.0000
Agent,24,120000,0,timeout,-0.9999,5000,-1,7.3907,7.3907,0.0000,9.9794,9.9344,0.0045,1.0000,9.93439,9.9261,9.9344,0.5846,1.0000,-0.4612,0.5846,0.3750,-0.4612,10.5000,-0.0300,0.0000
Agent,25,125000,0,timeout,-0.9999,5000,-1,6.8135,7.5261,-0.1046,10.7405,11.6457,-0.0843,1.0000,11.64566,11.6386,11.6457,5.2053,1.0000,1.1617,5.8684,0.3750,0.4492,0.0000,-0.0300,10.5000
Agent,26,130000,0,timeout,-0.9999,5000,-1,5.6629,4.9772,0.1211,9.9476,8.0530,0.1905,1.0000,8.053029,8.0428,8.0530,-5.5549,1.0000,-2.3124,-2.8997,0.3750,-2.9981,0.0000,-0.0300,-10.5000
Agent,27,135000,0,timeout,-0.9999,5000,-1,13.0451,17.1023,-0.3110,15.6095,19.6612,-0.2596,1.0000,19.66123,19.6571,19.6612,5.0698,1.0000,-0.4198,9.1271,0.3750,-1.0856,-10.5000,-0.0300,0.0000
Agent,28,140000,0,timeout,-0.9999,5000,-1,9.6684,9.6684,0.0000,12.9488,12.9141,0.0027,1.0000,12.91409,12.9077,12.9141,-1.6931,1.0000,4.2352,-1.6931,0.3750,4.2352,10.5000,-0.0300,0.0000
Agent,29,145000,0,timeout,-0.9999,5000,-1,12.8137,20.1017,-0.5688,15.4922,22.6526,-0.4622,1.0000,22.65258,22.6490,22.6526,-4.8384,1.0000,-1.9182,-12.1264,0.3750,1.0098,10.5000,-0.0300,0.0000
Agent,30,150000,0,timeout,-0.9999,5000,-1,8.1064,8.1064,0.0000,11.3979,11.3585,0.0035,1.0000,11.35853,11.3513,11.3585,0.1312,1.0000,-3.9787,0.1312,0.3750,-3.9787,-10.5000,-0.0300,0.0000
Agent,31,155000,0,timeout,-0.9999,5000,-1,12.5341,12.5341,0.0000,15.6425,15.6138,0.0018,1.0000,15.6138,15.6085,15.6138,-4.1059,1.0000,-4.5588,-4.1059,0.3750,-4.5588,0.0000,-0.0300,10.5000
Agent,32,160000,0,timeout,-0.9999,5000,-1,14.0932,14.0932,0.0000,16.6573,16.6303,0.0016,1.0000,16.63034,16.6254,16.6303,6.1180,1.0000,-0.4964,6.1180,0.3750,-0.4964,-10.5000,-0.0300,0.0000
Agent,33,165000,0,timeout,-0.9999,5000,-1,13.0767,13.0768,0.0000,16.5984,16.5714,0.0016,1.0000,16.57136,16.5664,16.5714,-5.1015,1.0000,5.5712,-5.1015,0.3750,5.5712,10.5000,-0.0300,0.0000
Agent,34,170000,0,timeout,-0.9999,5000,-1,8.2389,5.4473,0.3388,11.6688,10.4119,0.1077,1.0000,10.41187,10.4040,10.4119,-4.3868,1.0000,-0.2636,-6.6850,0.3750,2.5279,0.0000,-0.0300,10.5000
Agent,35,175000,0,timeout,-0.9999,5000,-1,2.2625,9.5037,-3.2005,7.5254,13.6002,-0.8072,1.0000,13.60018,13.5942,13.6002,-5.7143,1.0000,-5.7127,-6.3338,0.3750,1.5285,0.0000,-0.0300,-10.5000
Agent,36,180000,0,timeout,-0.9999,5000,-1,10.3973,10.3973,0.0000,14.0085,13.9764,0.0023,1.0000,13.9764,13.9705,13.9764,5.3101,1.0000,-2.4220,5.3101,0.3750,-2.4220,0.0000,-0.0300,10.5000
Agent,37,185000,0,timeout,-0.9999,5000,-1,13.5168,20.0661,-0.4845,16.6634,22.6586,-0.3598,1.0000,22.65855,22.6549,22.6586,5.5416,1.0000,4.3905,12.0909,0.3750,1.7020,-10.5000,-0.0300,0.0000
Agent,38,190000,0,timeout,-0.9999,5000,-1,8.4705,8.4705,0.0000,12.3137,12.2772,0.0030,1.0000,12.2772,12.2705,12.2772,0.4953,1.0000,-5.4470,0.4953,0.3750,-5.4470,-10.5000,-0.0300,0.0000
Agent,39,195000,0,timeout,-0.9999,5000,-1,12.5915,9.4416,0.2502,15.8819,12.3345,0.2234,1.0000,12.3345,12.3279,12.3345,-4.6163,1.0000,4.7614,-1.4663,0.3750,2.9635,10.5000,-0.0300,0.0000
Agent,40,200000,0,timeout,-0.9999,5000,-1,4.3327,6.2709,-0.4473,7.3383,9.1816,-0.2512,1.0000,9.181619,9.1727,9.1816,3.6425,1.0000,2.4008,1.7044,0.3750,2.6029,10.5000,-0.0300,0.0000
Agent,41,205000,0,timeout,-0.9999,5000,-1,2.9846,2.9846,0.0000,6.5376,6.4686,0.0106,1.0000,6.468584,6.4559,6.4686,-4.9906,1.0000,-3.3653,-4.9906,0.3750,-3.3653,-10.5000,-0.0300,0.0000
Agent,42,210000,0,timeout,-0.9999,5000,-1,2.6028,2.6028,0.0000,7.1076,7.0443,0.0089,1.0000,7.044257,7.0326,7.0443,-4.8130,1.0000,5.3724,-4.8130,0.3750,5.3724,0.0000,-0.0300,10.5000
Agent,43,215000,0,timeout,-0.9999,5000,-1,12.8253,12.8253,0.0000,15.4747,15.4457,0.0019,1.0000,15.44574,15.4404,15.4457,1.6676,1.0000,4.8501,1.6676,0.3750,4.8501,0.0000,-0.0300,-10.5000
Agent,44,220000,0,timeout,-0.9999,5000,-1,3.2510,3.2510,0.0000,8.2337,8.1790,0.0066,1.0000,8.179039,8.1690,8.1790,5.7769,1.0000,-4.7242,5.7769,0.3750,-4.7242,0.0000,-0.0300,-10.5000
Agent,45,225000,0,timeout,-0.9999,5000,-1,4.5620,4.5620,0.0000,8.0808,8.0251,0.0069,1.0000,8.025096,8.0149,8.0251,-3.7438,1.0000,3.4133,-3.7438,0.3750,3.4133,0.0000,-0.0300,10.5000
Agent,46,230000,0,timeout,-0.9999,5000,-1,12.1551,12.1551,0.0000,14.7245,14.6940,0.0021,1.0000,14.69401,14.6884,14.6940,-4.1799,1.0000,0.5005,-4.1799,0.3750,0.5005,10.5000,-0.0300,0.0000
Agent,47,235000,0,timeout,-0.9999,5000,-1,11.6888,13.0959,-0.1204,15.3591,16.4133,-0.0686,1.0000,16.41331,16.4083,16.4133,3.7136,1.0000,-5.7284,5.1207,0.3750,-5.0227,-10.5000,-0.0300,0.0000
Agent,48,240000,0,timeout,-0.9999,5000,-1,13.1356,13.1356,0.0000,15.9818,15.9538,0.0018,1.0000,15.95379,15.9487,15.9538,-5.1604,1.0000,-3.0186,-5.1604,0.3750,-3.0186,10.5000,-0.0300,0.0000
Agent,49,245000,0,timeout,-0.9999,5000,-1,7.6987,7.6987,0.0000,10.9793,10.9384,0.0037,1.0000,10.93841,10.9309,10.9384,-3.8684,1.0000,0.2765,-3.8684,0.3750,0.2765,0.0000,-0.0300,10.5000
Agent,50,250000,0,timeout,-0.9999,5000,-1,13.6868,13.6868,0.0000,16.4321,16.4048,0.0017,1.0000,16.40483,16.3998,16.4048,2.4780,1.0000,-5.7115,2.4780,0.3750,-5.7115,0.0000,-0.0300,10.5000
Agent,51,255000,0,timeout,-0.9999,5000,-1,3.1521,3.1521,0.0000,5.7727,5.6945,0.0135,1.0000,5.694468,5.6800,5.6945,4.8231,1.0000,-0.1902,4.8231,0.3750,-0.1902,10.5000,-0.0300,0.0000
Agent,52,260000,0,timeout,-0.9999,5000,-1,12.8836,12.8836,0.0000,15.4440,15.4150,0.0019,1.0000,15.41496,15.4096,15.4150,-0.1974,1.0000,-4.9084,-0.1974,0.3750,-4.9084,0.0000,-0.0300,10.5000
Agent,53,265000,0,timeout,-0.9999,5000,-1,9.3573,10.4402,-0.1157,13.0496,14.0632,-0.0777,1.0000,14.06318,14.0574,14.0632,5.2961,1.0000,-1.3820,5.4332,0.3750,-2.4649,0.0000,-0.0300,10.5000
Agent,54,270000,0,timeout,-0.9999,5000,-1,3.7627,3.7627,0.0000,7.7776,7.7197,0.0074,1.0000,7.719696,7.7091,7.7197,4.4606,1.0000,4.2125,4.4606,0.3750,4.2125,0.0000,-0.0300,10.5000
Agent,55,275000,0,timeout,-0.9999,5000,-1,6.5884,6.5884,0.0000,9.1717,9.1227,0.0053,1.0000,9.122679,9.1137,9.1227,-0.0998,1.0000,1.3869,-0.0998,0.3750,1.3869,0.0000,-0.0300,10.5000
Agent,56,280000,0,timeout,-0.9999,5000,-1,10.1260,10.1260,0.0000,12.6984,12.6630,0.0028,1.0000,12.66301,12.6565,12.6630,-2.1507,1.0000,-0.3835,-2.1507,0.3750,-0.3835,10.5000,-0.0300,0.0000
