agent_id,episode_id,training_step,success,end_reason,failure_mode,episode_reward,final_goal_error
Agent,1,45,1,goal,none,4.9910,3.3916
Agent,2,91,1,goal,none,4.9908,3.1537
Agent,3,226,1,goal,none,4.9730,2.8710
Agent,4,286,1,goal,none,4.9880,2.5651
Agent,5,469,1,goal,none,4.9634,5.1924
Agent,6,598,1,goal,none,4.9742,8.4786
Agent,7,628,1,goal,none,4.9940,2.6390
Agent,1,44,1,goal,none,4.9912,3.5322
Agent,2,163,1,goal,none,4.9762,9.9797
Agent,3,406,1,goal,none,4.9514,11.1834
Agent,4,876,1,goal,none,4.9060,6.6082
Agent,5,944,1,goal,none,4.9864,7.5152
Agent,6,1029,1,goal,none,4.9830,7.0937
Agent,7,1151,1,goal,none,4.9756,9.8240
Agent,8,1448,1,goal,none,4.9406,8.5956
Agent,9,1512,1,goal,none,4.9872,7.0311
Agent,10,1586,1,goal,none,4.9852,11.0408
Agent,11,1645,1,goal,none,4.9882,2.4310
Agent,12,1713,1,goal,none,4.9864,9.0177
Agent,13,1822,1,goal,none,4.9782,12.0779
Agent,14,1891,1,goal,none,4.9862,6.4629
Agent,15,1965,1,goal,none,4.9852,4.9442
Agent,16,2044,1,goal,none,4.9842,5.0586
Agent,17,2137,1,goal,none,4.9814,4.6401
Agent,18,2257,1,goal,none,4.9760,2.6275
Agent,19,2322,1,goal,none,4.9870,6.6116
Agent,20,2392,1,goal,none,4.9860,5.6786
Agent,21,2461,1,goal,none,4.9862,10.0158
Agent,22,2556,1,goal,none,4.9810,3.2465
Agent,23,2642,1,goal,none,4.9828,6.6995
Agent,24,2698,1,goal,none,4.9888,2.8473
Agent,25,2760,1,goal,none,4.9876,3.8703
Agent,26,2829,1,goal,none,4.9862,8.9354
Agent,27,2937,1,goal,none,4.9784,2.8574
Agent,28,3021,1,goal,none,4.9832,4.8181
Agent,29,3338,1,goal,none,4.9366,11.3848
Agent,30,3424,1,goal,none,4.9828,10.3149
Agent,31,3547,1,goal,none,4.9754,2.6449
Agent,32,3674,1,goal,none,4.9746,8.3994
Agent,33,3746,1,goal,none,4.9856,4.4237
Agent,34,3867,1,goal,none,4.9758,7.9312
Agent,35,3952,1,goal,none,4.9830,2.6494
Agent,36,4002,1,goal,none,4.9900,4.4703
Agent,37,4093,1,goal,none,4.9818,7.8962
Agent,38,4172,1,goal,none,4.9842,4.5990
Agent,39,4403,1,goal,none,4.9538,6.5925
Agent,40,4491,1,goal,none,4.9824,3.4195
Agent,41,4614,1,goal,none,4.9754,2.5368
Agent,42,4705,1,goal,none,4.9818,2.7224
Agent,43,4983,1,goal,none,4.9444,12.1495
Agent,44,5025,1,goal,none,4.9916,4.1463
Agent,45,5135,1,goal,none,4.9780,9.0903
Agent,46,5281,1,goal,none,4.9708,12.3924
Agent,47,5356,1,goal,none,4.9850,5.4004
Agent,48,5438,1,goal,none,4.9836,3.3116
Agent,49,5534,1,goal,none,4.9808,6.2381
Agent,50,5615,1,goal,none,4.9838,2.9887
Agent,51,5685,1,goal,none,4.9860,6.0642
Agent,52,5816,1,goal,none,4.9738,3.1133
Agent,53,5931,1,goal,none,4.9770,2.5277
Agent,54,6015,1,goal,none,4.9832,5.2257
Agent,1,74,1,goal,none,4.9852,2.9932
Agent,2,124,1,goal,none,4.9900,4.1579
Agent,3,217,1,goal,none,4.9814,7.0725
Agent,4,294,1,goal,none,4.9846,6.8134
Agent,5,357,1,goal,none,4.9874,3.7517
Agent,6,533,1,goal,none,4.9648,8.1480
Agent,7,622,1,goal,none,4.9822,2.5566
Agent,8,711,1,goal,none,4.9822,7.5022
Agent,9,750,1,goal,none,4.9922,6.2588
Agent,10,824,1,goal,none,4.9852,2.8379
Agent,11,884,1,goal,none,4.9880,4.2764
Agent,12,987,1,goal,none,4.9794,7.7141
Agent,13,1031,1,goal,none,4.9912,8.6097
Agent,14,1176,1,goal,none,4.9710,8.3168
Agent,15,1313,1,goal,none,4.9726,6.1945
Agent,16,1546,1,goal,none,4.9534,11.8513
Agent,17,1611,1,goal,none,4.9870,3.7661
Agent,18,1687,1,goal,none,4.9848,6.2404
Agent,19,1795,1,goal,none,4.9784,3.3971
Agent,20,1860,1,goal,none,4.9870,4.5435
Agent,21,1956,1,goal,none,4.9808,9.7521
Agent,22,2058,1,goal,none,4.9796,4.6115
Agent,23,2151,1,goal,none,4.9814,5.0356
Agent,24,2266,1,goal,none,4.9770,11.1369
Agent,25,2401,1,goal,none,4.9730,4.7233
Agent,26,2630,1,goal,none,4.9542,10.8667
Agent,27,2681,1,goal,none,4.9898,7.9137
Agent,28,2826,1,goal,none,4.9710,2.6173
Agent,29,3015,1,goal,none,4.9622,11.5011
Agent,30,3120,1,goal,none,4.9790,4.5519
Agent,1,141,1,goal,none,4.9718,5.4675
Agent,2,252,1,goal,none,4.9778,3.0206
Agent,3,339,1,goal,none,4.9826,11.6639
Agent,4,442,1,goal,none,4.9794,6.7782
Agent,5,535,1,goal,none,4.9814,4.5492
Agent,6,663,1,goal,none,4.9744,6.1455
Agent,7,702,1,goal,none,4.9922,2.4932
Agent,8,822,1,goal,none,4.9760,9.1117
Agent,9,941,1,goal,none,4.9762,9.8025
Agent,10,1098,1,goal,none,4.9686,5.6731
Agent,11,1313,1,goal,none,4.9570,11.9019
Agent,12,1361,1,goal,none,4.9904,4.5102
Agent,13,1466,1,goal,none,4.9790,8.2575
Agent,14,1519,1,goal,none,4.9894,3.2641
Agent,15,1563,1,goal,none,4.9912,2.3879
Agent,16,1661,1,goal,none,4.9804,7.2591
Agent,17,1722,1,goal,none,4.9878,5.9078
Agent,18,1878,1,goal,none,4.9688,10.3625
Agent,19,1923,1,goal,none,4.9910,2.9919
Agent,20,2018,1,goal,none,4.9810,6.2742
Agent,21,2101,1,goal,none,4.9834,2.4874
Agent,22,2243,1,goal,none,4.9716,4.8229
Agent,23,2346,1,goal,none,4.9794,7.5275
Agent,24,2395,1,goal,none,4.9902,2.5621
Agent,25,2442,1,goal,none,4.9906,3.1064
Agent,26,2482,1,goal,none,4.9920,4.3051
Agent,27,2628,1,goal,none,4.9708,7.8353
Agent,28,2760,1,goal,none,4.9736,8.6513
Agent,29,2819,1,goal,none,4.9882,4.4516
Agent,30,2939,1,goal,none,4.9760,5.1247
Agent,31,3166,1,goal,none,4.9546,9.7613
Agent,32,3258,1,goal,none,4.9816,2.6502
Agent,33,3346,1,goal,none,4.9824,5.5261
Agent,34,3458,1,goal,none,4.9776,4.2338
Agent,35,3555,1,goal,none,4.9806,5.8906
Agent,36,3634,1,goal,none,4.9842,2.5636
Agent,37,3719,1,goal,none,4.9830,10.1542
Agent,38,3795,1,goal,none,4.9848,3.4711
Agent,39,3888,1,goal,none,4.9814,3.2726
Agent,40,4044,1,goal,none,4.9688,11.6914
Agent,41,4120,1,goal,none,4.9848,9.7745
Agent,42,4237,1,goal,none,4.9766,11.2427
Agent,43,4406,1,goal,none,4.9662,6.6530
Agent,44,4616,1,goal,none,4.9580,6.7237
Agent,45,4665,1,goal,none,4.9902,4.4809
Agent,46,4737,1,goal,none,4.9856,5.1791
Agent,47,4845,1,goal,none,4.9784,2.7619
Agent,48,4939,1,goal,none,4.9812,4.1760
Agent,49,5033,1,goal,none,4.9812,4.1056
Agent,50,5147,1,goal,none,4.9772,5.5231
Agent,1,178,1,goal,none,4.9644,12.3779
Agent,2,274,1,goal,none,4.9808,7.9065
Agent,3,319,1,goal,none,4.9910,3.4988
Agent,4,406,1,goal,none,4.9826,5.4994
Agent,5,482,1,goal,none,4.9848,5.8834
Agent,6,624,1,goal,none,4.9716,6.6834
Agent,7,716,1,goal,none,4.9816,4.4463
Agent,8,904,1,goal,none,4.9624,2.8014
Agent,9,1014,1,goal,none,4.9780,3.9240
Agent,10,1116,1,goal,none,4.9796,5.4098
Agent,11,1201,1,goal,none,4.9830,7.3992
Agent,12,1340,1,goal,none,4.9722,9.0877
Agent,13,1400,1,goal,none,4.9880,4.8819
Agent,14,1514,1,goal,none,4.9772,2.5509
Agent,15,1618,1,goal,none,4.9792,11.2125
Agent,16,1752,1,goal,none,4.9732,3.4167
Agent,17,1821,1,goal,none,4.9862,5.8183
Agent,18,2094,1,goal,none,4.9454,4.1774
Agent,19,2127,1,goal,none,4.9934,2.6740
Agent,20,2476,1,goal,none,4.9302,10.6946
Agent,21,2531,1,goal,none,4.9890,6.6028
Agent,22,2666,1,goal,none,4.9730,2.8009
Agent,23,2742,1,goal,none,4.9848,7.7468
Agent,24,2879,1,goal,none,4.9726,4.6701
Agent,25,3000,1,goal,none,4.9758,9.5478
Agent,26,3066,1,goal,none,4.9868,5.7077
Agent,27,3128,1,goal,none,4.9876,2.6918
Agent,28,3169,1,goal,none,4.9918,2.5799
Agent,29,3230,1,goal,none,4.9878,4.6619
Agent,30,3309,1,goal,none,4.9842,4.9404
Agent,31,3428,1,goal,none,4.9762,8.0251
Agent,32,4570,1,goal,none,4.7716,11.9259
Agent,33,4674,1,goal,none,4.9792,5.7123
Agent,34,4758,1,goal,none,4.9832,8.1956
Agent,35,4869,1,goal,none,4.9778,6.5814
Agent,36,4903,1,goal,none,4.9932,7.4071
Agent,37,5056,1,goal,none,4.9694,6.6325
Agent,38,5184,1,goal,none,4.9744,12.3856
Agent,39,5270,1,goal,none,4.9828,8.3152
Agent,40,5324,1,goal,none,4.9892,3.0829
Agent,41,5358,1,goal,none,4.9932,2.8683
Agent,42,5464,1,goal,none,4.9788,4.6465
Agent,43,5555,1,goal,none,4.9818,7.4597
Agent,44,5656,1,goal,none,4.9798,3.4802
Agent,45,5760,1,goal,none,4.9792,10.0391
Agent,46,5803,1,goal,none,4.9914,3.6867
Agent,47,6048,1,goal,none,4.9510,11.6124
Agent,48,6085,1,goal,none,4.9926,4.4287
Agent,49,6134,1,goal,none,4.9902,6.8322
Agent,50,6409,1,goal,none,4.9450,10.3384
Agent,51,6487,1,goal,none,4.9844,3.1350
Agent,52,6596,1,goal,none,4.9782,6.4610
Agent,53,6830,1,goal,none,4.9532,7.3722
Agent,54,6933,1,goal,none,4.9794,2.3866
Agent,55,6993,1,goal,none,4.9880,4.8354
Agent,56,7061,1,goal,none,4.9864,2.8209
Agent,57,7120,1,goal,none,4.9882,6.4817
Agent,58,7228,1,goal,none,4.9784,7.3337
Agent,59,7286,1,goal,none,4.9884,3.7516
Agent,60,7316,1,goal,none,4.9940,3.4035
Agent,61,7382,1,goal,none,4.9868,5.1439
Agent,62,7509,1,goal,none,4.9746,10.2896
Agent,63,7607,1,goal,none,4.9804,12.1311
Agent,64,7805,1,goal,none,4.9604,5.9028
Agent,65,8108,1,goal,none,4.9394,5.9719
Agent,66,8154,1,goal,none,4.9908,3.0847
Agent,67,8306,1,goal,none,4.9696,2.7724
Agent,68,8501,1,goal,none,4.9610,12.3936
Agent,69,8566,1,goal,none,4.9870,3.9482
Agent,70,8680,1,goal,none,4.9772,5.2092
Agent,71,8734,1,goal,none,4.9892,7.4541
Agent,72,8825,1,goal,none,4.9818,5.1335
Agent,73,8924,1,goal,none,4.9802,8.3945
Agent,74,8966,1,goal,none,4.9916,4.0167
Agent,75,9056,1,goal,none,4.9820,6.5285
Agent,76,9262,1,goal,none,4.9588,10.1897
Agent,77,9346,1,goal,none,4.9832,3.6155
Agent,78,9495,1,goal,none,4.9702,8.9064
Agent,79,9615,1,goal,none,4.9760,5.2710
Agent,80,9671,1,goal,none,4.9888,6.7351
Agent,81,12418,1,goal,none,4.4506,11.3111
Agent,82,12487,1,goal,none,4.9862,10.4361
Agent,83,12576,1,goal,none,4.9822,3.4546
Agent,84,12697,1,goal,none,4.9758,12.0901
Agent,85,12791,1,goal,none,4.9812,3.5412
Agent,86,12855,1,goal,none,4.9872,3.0516
Agent,87,12946,1,goal,none,4.9818,5.3524
Agent,88,13148,1,goal,none,4.9596,10.8444
Agent,89,13259,1,goal,none,4.9778,7.0239
Agent,90,13356,1,goal,none,4.9806,2.5348
Agent,91,13398,1,goal,none,4.9916,6.7715
Agent,92,13471,1,goal,none,4.9854,4.5145
Agent,93,13623,1,goal,none,4.9696,5.0213
Agent,94,13674,1,goal,none,4.9898,5.6729
Agent,95,13717,1,goal,none,4.9914,3.5207
Agent,96,13802,1,goal,none,4.9830,9.0429
Agent,97,13938,1,goal,none,4.9728,3.4888
Agent,98,14112,1,goal,none,4.9652,4.8688
Agent,99,14158,1,goal,none,4.9908,2.7266
Agent,100,14217,1,goal,none,4.9882,2.5861
Agent,101,14267,1,goal,none,4.9900,5.3049
Agent,102,14391,1,goal,none,4.9752,9.1625
Agent,103,14491,1,goal,none,4.9800,2.5709
Agent,104,14547,1,goal,none,4.9888,2.8899
Agent,105,14599,1,goal,none,4.9896,2.5557
Agent,106,14685,1,goal,none,4.9828,4.5766
Agent,107,14801,1,goal,none,4.9768,6.7184
Agent,108,14940,1,goal,none,4.9722,12.3897
Agent,109,15120,1,goal,none,4.9640,10.1949
Agent,110,15275,1,goal,none,4.9690,8.4565
Agent,111,15339,1,goal,none,4.9872,5.8182
Agent,112,15419,1,goal,none,4.9840,3.8065
Agent,113,15534,1,goal,none,4.9770,9.4087
Agent,114,15620,1,goal,none,4.9828,6.8553
Agent,115,15731,1,goal,none,4.9778,5.5249
Agent,116,15774,1,goal,none,4.9914,2.4901
Agent,117,15871,1,goal,none,4.9806,2.7007
Agent,118,15952,1,goal,none,4.9838,11.5449
Agent,119,16126,1,goal,none,4.9652,11.7512
Agent,120,16206,1,goal,none,4.9840,2.5595
Agent,121,16260,1,goal,none,4.9892,4.8718
Agent,122,16339,1,goal,none,4.9842,7.6426
Agent,123,16411,1,goal,none,4.9856,2.6060
Agent,124,16552,1,goal,none,4.9718,5.5098
Agent,125,16696,1,goal,none,4.9712,10.8276
Agent,126,16758,1,goal,none,4.9876,5.2095
Agent,127,16825,1,goal,none,4.9866,2.5887
Agent,128,16911,1,goal,none,4.9828,6.1259
Agent,129,17019,1,goal,none,4.9784,8.9338
Agent,130,17167,1,goal,none,4.9704,8.8884
Agent,131,17233,1,goal,none,4.9868,2.7044
Agent,132,17291,1,goal,none,4.9884,6.9518
Agent,133,17339,1,goal,none,4.9904,7.4125
Agent,134,17491,1,goal,none,4.9696,6.0771
Agent,135,17673,1,goal,none,4.9636,2.6152
Agent,136,17839,1,goal,none,4.9668,6.4582
Agent,137,17891,1,goal,none,4.9896,3.0843
Agent,138,18081,1,goal,none,4.9620,10.3419
Agent,139,18237,1,goal,none,4.9688,12.2882
Agent,140,18320,1,goal,none,4.9834,8.2384
Agent,141,18455,1,goal,none,4.9730,3.6652
Agent,142,18520,1,goal,none,4.9870,4.7674
Agent,143,18667,1,goal,none,4.9706,2.9878
Agent,144,18778,1,goal,none,4.9778,8.4100
Agent,145,18845,1,goal,none,4.9866,2.7421
Agent,146,18882,1,goal,none,4.9926,3.3543
Agent,147,18963,1,goal,none,4.9838,6.0252
Agent,148,19067,1,goal,none,4.9792,4.3287
Agent,149,19181,1,goal,none,4.9772,9.5214
Agent,150,19315,1,goal,none,4.9732,5.7870
Agent,151,19541,1,goal,none,4.9548,12.3917
Agent,152,19633,1,goal,none,4.9816,2.6267
Agent,153,19910,1,goal,none,4.9446,6.9738
Agent,154,19992,1,goal,none,4.9836,5.5261
Agent,155,20079,1,goal,none,4.9826,2.4795
Agent,156,20190,1,goal,none,4.9778,11.6254
Agent,157,20351,1,goal,none,4.9678,2.9617
Agent,158,20433,1,goal,none,4.9836,10.8853
Agent,159,20471,1,goal,none,4.9924,4.7279
Agent,160,20580,1,goal,none,4.9782,2.5425
Agent,161,21750,1,goal,none,4.7660,11.9120
Agent,162,21855,1,goal,none,4.9790,10.8922
Agent,163,21949,1,goal,none,4.9812,8.5810
Agent,164,22123,1,goal,none,4.9652,3.6006
Agent,165,22165,1,goal,none,4.9916,2.5644
Agent,1,5000,0,timeout,timeout,-0.9999,6.4213
Agent,2,10000,0,timeout,timeout,-0.9999,16.3408
Agent,3,15000,0,timeout,timeout,-0.9999,15.0860
Agent,4,20000,0,timeout,timeout,-0.9999,7.3289
Agent,5,25000,0,timeout,timeout,-0.9999,12.0847
Agent,6,30000,0,timeout,timeout,-0.9999,8.6547
Agent,7,35000,0,timeout,timeout,-0.9999,17.6465
Agent,8,40000,0,timeout,timeout,-0.9999,11.9472
Agent,9,45000,0,timeout,timeout,-0.9999,7.6916
Agent,10,50000,0,timeout,timeout,-0.9999,9.0468
Agent,11,55000,0,timeout,timeout,-0.9999,10.5529
Agent,12,60000,0,timeout,timeout,-0.9999,10.8444
Agent,13,65000,0,timeout,timeout,-0.9999,14.6950
Agent,14,70000,0,timeout,timeout,-0.9999,11.6660
Agent,15,75000,0,timeout,timeout,-0.9999,10.8468
Agent,16,80000,0,timeout,timeout,-0.9999,10.3529
Agent,17,85000,0,timeout,timeout,-0.9999,10.5373
Agent,18,90000,0,timeout,timeout,-0.9999,10.0573
Agent,19,95000,0,timeout,timeout,-0.9999,8.3747
Agent,20,100000,0,timeout,timeout,-0.9999,7.6082
Agent,21,105000,0,timeout,timeout,-0.9999,9.7979
Agent,22,110000,0,timeout,timeout,-0.9999,13.5959
Agent,23,115000,0,timeout,timeout,-0.9999,13.2443
Agent,24,120000,0,timeout,timeout,-0.9999,9.9344
Agent,25,125000,0,timeout,timeout,-0.9999,11.6457
Agent,26,130000,0,timeout,timeout,-0.9999,8.0530
Agent,27,135000,0,timeout,timeout,-0.9999,19.6612
Agent,28,140000,0,timeout,timeout,-0.9999,12.9141
Agent,29,145000,0,timeout,timeout,-0.9999,22.6526
Agent,30,150000,0,timeout,timeout,-0.9999,11.3585
Agent,31,155000,0,timeout,timeout,-0.9999,15.6138
Agent,32,160000,0,timeout,timeout,-0.9999,16.6303
Agent,33,165000,0,timeout,timeout,-0.9999,16.5714
Agent,34,170000,0,timeout,timeout,-0.9999,10.4119
Agent,35,175000,0,timeout,timeout,-0.9999,13.6002
Agent,36,180000,0,timeout,timeout,-0.9999,13.9764
Agent,37,185000,0,timeout,timeout,-0.9999,22.6586
Agent,38,190000,0,timeout,timeout,-0.9999,12.2772
Agent,39,195000,0,timeout,timeout,-0.9999,12.3345
Agent,40,200000,0,timeout,timeout,-0.9999,9.1816
Agent,41,205000,0,timeout,timeout,-0.9999,6.4686
Agent,42,210000,0,timeout,timeout,-0.9999,7.0443
Agent,43,215000,0,timeout,timeout,-0.9999,15.4457
Agent,44,220000,0,timeout,timeout,-0.9999,8.1790
Agent,45,225000,0,timeout,timeout,-0.9999,8.0251
Agent,46,230000,0,timeout,timeout,-0.9999,14.6940
Agent,47,235000,0,timeout,timeout,-0.9999,16.4133
Agent,48,240000,0,timeout,timeout,-0.9999,15.9538
Agent,49,245000,0,timeout,timeout,-0.9999,10.9384
Agent,50,250000,0,timeout,timeout,-0.9999,16.4048
Agent,51,255000,0,timeout,timeout,-0.9999,5.6945
Agent,52,260000,0,timeout,timeout,-0.9999,15.4150
Agent,53,265000,0,timeout,timeout,-0.9999,14.0632
Agent,54,270000,0,timeout,timeout,-0.9999,7.7197
Agent,55,275000,0,timeout,timeout,-0.9999,9.1227
Agent,56,280000,0,timeout,timeout,-0.9999,12.6630
Agent,57,285000,0,timeout,timeout,-0.9999,8.5573
Agent,58,290000,0,timeout,timeout,-0.9999,15.2142
Agent,59,295000,0,timeout,timeout,-0.9999,9.1019
Agent,60,300000,0,timeout,timeout,-0.9999,12.5652
Agent,61,305000,0,timeout,timeout,-0.9999,8.3135
Agent,62,310000,0,timeout,timeout,-0.9999,11.3979
Agent,63,315000,0,timeout,timeout,-0.9999,15.1484
Agent,64,320000,0,timeout,timeout,-0.9999,7.1174
Agent,65,325000,0,timeout,timeout,-0.9999,8.5003
Agent,66,330000,0,timeout,timeout,-0.9999,12.7729
Agent,67,335000,0,timeout,timeout,-0.9999,18.0095
Agent,68,340000,0,timeout,timeout,-0.9999,8.6078
Agent,69,345000,0,timeout,timeout,-0.9999,9.6545
Agent,70,350000,0,timeout,timeout,-0.9999,13.1401
Agent,71,355000,0,timeout,timeout,-0.9999,8.0420
Agent,72,360000,0,timeout,timeout,-0.9999,11.7867
Agent,73,365000,0,timeout,timeout,-0.9999,15.7750
Agent,74,370000,0,timeout,timeout,-0.9999,15.2823
Agent,75,375000,0,timeout,timeout,-0.9999,14.5887
Agent,76,380000,0,timeout,timeout,-0.9999,12.5984
Agent,77,385000,0,timeout,timeout,-0.9999,11.5517
Agent,78,390000,0,timeout,timeout,-0.9999,11.1245
Agent,79,395000,0,timeout,timeout,-0.9999,11.7284
Agent,80,400000,0,timeout,timeout,-0.9999,8.6661
Agent,81,405000,0,timeout,timeout,-0.9999,23.6951
Agent,82,410000,0,timeout,timeout,-0.9999,11.1208
Agent,83,415000,0,timeout,timeout,-0.9999,9.4300
Agent,84,420000,0,timeout,timeout,-0.9999,13.8435
Agent,85,425000,0,timeout,timeout,-0.9999,6.9370
Agent,86,430000,0,timeout,timeout,-0.9999,13.0950
Agent,87,435000,0,timeout,timeout,-0.9999,12.6204
Agent,88,440000,0,timeout,timeout,-0.9999,14.5019
Agent,89,445000,0,timeout,timeout,-0.9999,12.9881
Agent,90,450000,0,timeout,timeout,-0.9999,10.5072
Agent,91,455000,0,timeout,timeout,-0.9999,6.9484
Agent,92,460000,0,timeout,timeout,-0.9999,8.3311
Agent,93,465000,0,timeout,timeout,-0.9999,15.8761
Agent,94,470000,0,timeout,timeout,-0.9999,16.9325
Agent,95,475000,0,timeout,timeout,-0.9999,9.6271
Agent,96,480000,0,timeout,timeout,-0.9999,14.6041
Agent,97,485000,0,timeout,timeout,-0.9999,8.1291
Agent,98,490000,0,timeout,timeout,-0.9999,7.4962
Agent,99,495000,0,timeout,timeout,-0.9999,15.3849
Agent,100,500000,0,timeout,timeout,-0.9999,9.2182
Agent,101,505000,0,timeout,timeout,-0.9999,10.7698
Agent,102,510000,0,timeout,timeout,-0.9999,7.2839
Agent,103,515000,0,timeout,timeout,-0.9999,13.2915
Agent,104,520000,0,timeout,timeout,-0.9999,15.5017
Agent,105,525000,0,timeout,timeout,-0.9999,15.0157
Agent,106,530000,0,timeout,timeout,-0.9999,14.7346
Agent,107,535000,0,timeout,timeout,-0.9999,16.0840
Agent,108,540000,0,timeout,timeout,-0.9999,16.5840
Agent,109,545000,0,timeout,timeout,-0.9999,8.9992
Agent,110,550000,0,timeout,timeout,-0.9999,9.6765
Agent,111,555000,0,timeout,timeout,-0.9999,8.4779
Agent,112,560000,0,timeout,timeout,-0.9999,7.9440
Agent,113,565000,0,timeout,timeout,-0.9999,22.9154
Agent,114,570000,0,timeout,timeout,-0.9999,11.3624
Agent,115,575000,0,timeout,timeout,-0.9999,9.3856
Agent,116,580000,0,timeout,timeout,-0.9999,8.9034
Agent,117,585000,0,timeout,timeout,-0.9999,8.1803
Agent,118,590000,0,timeout,timeout,-0.9999,4.4554
Agent,119,595000,0,timeout,timeout,-0.9999,14.4776
Agent,120,600000,0,timeout,timeout,-0.9999,13.4946
Agent,121,605000,0,timeout,timeout,-0.9999,3.8343
Agent,122,610000,0,timeout,timeout,-0.9999,15.3625
Agent,123,615000,0,timeout,timeout,-0.9999,9.0216
Agent,124,620000,0,timeout,timeout,-0.9999,8.8651
Agent,125,625000,0,timeout,timeout,-0.9999,16.4626
Agent,126,630000,0,timeout,timeout,-0.9999,20.8661
Agent,127,635000,0,timeout,timeout,-0.9999,18.3097
Agent,128,640000,0,timeout,timeout,-0.9999,12.7832
Agent,129,645000,0,timeout,timeout,-0.9999,6.5526
Agent,130,648926,1,goal,none,4.2148,12.0619
Agent,131,653926,0,timeout,timeout,-0.9999,4.0095
Agent,132,658926,0,timeout,timeout,-0.9999,16.0427
Agent,133,663926,0,timeout,timeout,-0.9999,10.9446
Agent,134,668926,0,timeout,timeout,-0.9999,14.3899
Agent,135,673926,0,timeout,timeout,-0.9999,11.4643
Agent,136,678926,0,timeout,timeout,-0.9999,16.1152
Agent,137,683926,0,timeout,timeout,-0.9999,5.0558
Agent,138,688926,0,timeout,timeout,-0.9999,11.4563
Agent,139,693926,0,timeout,timeout,-0.9999,11.8094
Agent,140,698926,0,timeout,timeout,-0.9999,9.5758
Agent,141,703926,0,timeout,timeout,-0.9999,15.4794
Agent,142,708926,0,timeout,timeout,-0.9999,11.8246
Agent,143,713926,0,timeout,timeout,-0.9999,8.6815
Agent,144,718926,0,timeout,timeout,-0.9999,9.6127
Agent,145,723926,0,timeout,timeout,-0.9999,16.3723
Agent,146,728926,0,timeout,timeout,-0.9999,5.6348
Agent,147,733926,0,timeout,timeout,-0.9999,13.4139
Agent,148,738926,0,timeout,timeout,-0.9999,9.9822
Agent,149,743926,0,timeout,timeout,-0.9999,16.4431
Agent,150,748926,0,timeout,timeout,-0.9999,15.0210
Agent,151,753926,0,timeout,timeout,-0.9999,9.9473
Agent,152,758926,0,timeout,timeout,-0.9999,15.9973
Agent,153,763926,0,timeout,timeout,-0.9999,5.9933
Agent,154,764072,1,goal,none,4.9708,2.9475
Agent,155,769072,0,timeout,timeout,-0.9999,8.9151
Agent,156,774072,0,timeout,timeout,-0.9999,9.9387
Agent,157,779072,0,timeout,timeout,-0.9999,14.0677
Agent,158,784072,0,timeout,timeout,-0.9999,7.9939
Agent,159,789072,0,timeout,timeout,-0.9999,8.9475
Agent,160,794072,0,timeout,timeout,-0.9999,7.2288
Agent,161,799072,0,timeout,timeout,-0.9999,11.7027
Agent,162,804072,0,timeout,timeout,-0.9999,9.7435
Agent,163,809072,0,timeout,timeout,-0.9999,16.4557
Agent,164,814072,0,timeout,timeout,-0.9999,9.4359
Agent,165,819072,0,timeout,timeout,-0.9999,10.2401
Agent,166,824072,0,timeout,timeout,-0.9999,16.2131
Agent,167,829072,0,timeout,timeout,-0.9999,16.4813
Agent,168,834072,0,timeout,timeout,-0.9999,16.2393
