agent_id,episode_id,training_step,success,end_reason,mean_goal_velocity,goal_velocity_variance,goal_velocity_acceleration_variance,goal_velocity_jerk,rotation_variance,action_entropy,repeated_action_ratio,policy_smoothness,control_samples,mean_angular_speed
Agent,1,5000,0,timeout,0.0239,0.1947,0.0283,0.0078,0.0000,1.9399,0.8264,2.7716,5000.0000,0.0000
Agent,2,10000,0,timeout,-0.0361,0.1450,0.0127,0.0051,0.0000,1.9403,0.8262,2.6521,5000.0000,0.0000
Agent,3,15000,0,timeout,-0.0693,0.5265,0.0436,0.0104,0.0000,1.9329,0.8262,2.5726,5000.0000,0.0000
Agent,4,20000,0,timeout,-0.0953,0.9284,0.0703,0.0159,0.0000,1.9385,0.8310,2.6149,5000.0000,0.0000
Agent,5,25000,0,timeout,-0.0084,0.0290,0.0044,0.0026,0.0000,1.9292,0.8284,2.5298,5000.0000,0.0000
Agent,6,30000,0,timeout,0.0003,0.0000,0.0000,0.0001,0.0000,1.9086,0.8314,2.5499,5000.0000,0.0000
Agent,7,35000,0,timeout,0.0012,0.4013,0.0341,0.0074,0.0000,1.9106,0.8282,2.5012,5000.0000,0.0000
Agent,8,40000,0,timeout,0.0003,0.0001,0.0000,0.0001,0.0000,1.9121,0.8306,2.6076,5000.0000,0.0000
Agent,9,45000,0,timeout,0.0004,0.0001,0.0000,0.0001,0.0000,1.9087,0.8288,2.5743,5000.0000,0.0000
Agent,10,50000,0,timeout,0.0003,0.0000,0.0000,0.0001,0.0000,1.9001,0.8298,2.5647,5000.0000,0.0000
Agent,11,55000,0,timeout,0.0003,0.0000,0.0000,0.0001,0.0000,1.9018,0.8278,2.4953,5000.0000,0.0000
Agent,12,60000,0,timeout,0.0008,0.0003,0.0000,0.0002,0.0000,1.8727,0.8346,2.7022,5000.0000,0.0000
Agent,13,65000,0,timeout,0.0005,0.0001,0.0000,0.0001,0.0000,1.8794,0.8306,2.5674,5000.0000,0.0000
Agent,14,70000,0,timeout,0.0003,0.0000,0.0000,0.0001,0.0000,1.8846,0.8296,2.5711,5000.0000,0.0000
Agent,15,75000,0,timeout,0.0003,0.0000,0.0000,0.0001,0.0000,1.8649,0.8342,2.6244,5000.0000,0.0000
